79 - 265.0MVA, Nodes: 5 - 104 Cost:34.116566670584604 Built:1.0
4061 - 504.0MVA, Nodes: 148 - 1 Cost:71.62861920030802 Built:1.0
9 - 265.0MVA, Nodes: 2 - 148 Cost:30.807731085452907 Built:1.0
33 - 265.0MVA, Nodes: 4 - 104 Cost:32.80329017967126 Built:1.0
181 - 265.0MVA, Nodes: 8 - 35 Cost:33.864213146227605 Built:1.0
217 - 265.0MVA, Nodes: 9 - 35 Cost:41.32235990307476 Built:1.0
872 - 759.0MVA, Nodes: 35 - 104 Cost:43.46047890156772 Built:1.0
135 - 265.0MVA, Nodes: 7 - 35 Cost:32.2351756485495 Built:1.0
30 - 265.0MVA, Nodes: 3 - 148 Cost:37.89769544474147 Built:1.0
126 - 265.0MVA, Nodes: 6 - 104 Cost:39.56556533986999 Built:1.0
3951 - 1526.0MVA, Nodes: 104 - 1 Cost:230.5894812470256 Built:1.0

